,Study,Mosquito,Insecticide,concn,Hut,location,wall_type,Deterrency,Induced_Exophily,Bloodfeeding_inhibition,Insecticide_induced_mortality,insecticide,Months_since_IRS,time,lp0,Ntotalfemalemosq_C,Ntotaldied_C,Nexittraps_C,Nbloodfed_C,Ntotalfemalemosq_IRS,Ntotaldied_IRS,Nexittraps_IRS,Nbloodfed_IRS,P_fed_and_alive,P_fed_and_dead,P_unfed_and_dead,P_unfed_and_alive,P_killed,P_bloodfed,P_other
1,Agossa2014,Anophelesgambiae,pirimiphosmethyl,2,WestAfrica,Benin,cement,-50.65789474,0.275132275,4.956321839,100,pirimiphosmethyl,1,0,1,152,0,26,145,75,75,13,68,,,,,,,
2,Agossa2014,Anophelesgambiae,pirimiphosmethyl,2,WestAfrica,Benin,cement,-20.54794521,-2.396259497,-0.876959872,91.37931034,pirimiphosmethyl,2,2,1,73,0,14,71,58,53,10,52,,,,,,,
3,Agossa2014,Anophelesgambiae,pirimiphosmethyl,2,WestAfrica,Benin,cement,-46.37681159,25.40540541,-97.22572509,52.7027027,pirimiphosmethyl,6,6,1,138,0,18,122,74,39,26,68,,,,,,,
4,Tchicaya2014,Anophelesfunestus,pirimiphos-methylAA30%CS,1,WestAfrica,CoteDIvoire,cement,-50.70422535,11.48051948,18.64583333,87.58017493,pirimiphosmethyl,1.5,0,0.914285714,71,22,16,60,35,32,11,22,,,,,,,
5,Tchicaya2014,Anophelesfunestus,pirimiphos-methylAA30%CS,1,WestAfrica,CoteDIvoire,cement,-73.97260274,-8.367071525,21.3427269,100,pirimiphosmethyl,1.5,0,1,146,59,29,127,38,38,5,26,,,,,,,
6,Tchicaya2014,Anophelesfunestus,pirimiphos-methylAA30%CS,1,WestAfrica,CoteDIvoire,cement,-55.88235294,-4.615384615,-5.533063428,79.62546816,pirimiphosmethyl,1.5,0,0.866666667,136,47,32,114,60,52,12,46,,,,,,,
7,Tchicaya2014,Anophelesfunestus,pirimiphos-methylAA30%CS,1,WestAfrica,CoteDIvoire,cement,23.25581395,-2.166317261,-20.27972028,96.75471698,pirimiphosmethyl,1.5,0,0.981132075,86,36,32,55,106,104,38,80,,,,,,,
8,Tchicaya2014,Anophelesfunestus,pirimiphos-methylB30%CS,1,WestAfrica,CoteDIvoire,cement,-63.38028169,-4.265734266,27.17948718,100,pirimiphosmethyl,1.5,0,1,71,22,16,60,26,26,5,16,,,,,,,
9,Tchicaya2014,Anophelesfunestus,pirimiphos-methylB30%CS,1,WestAfrica,CoteDIvoire,cement,-82.87671233,0.170940171,31.02362205,100,pirimiphosmethyl,1.5,0,1,146,59,29,127,25,25,5,15,,,,,,,
10,Tchicaya2014,Anophelesfunestus,pirimiphos-methylB30%CS,1,WestAfrica,CoteDIvoire,cement,-40.44117647,11.20607787,17.98245614,98.11346927,pirimiphosmethyl,1.5,0,0.987654321,136,47,32,114,81,80,26,55,,,,,,,
11,Tchicaya2014,Anophelesfunestus,pirimiphos-methylB30%CS,1,WestAfrica,CoteDIvoire,cement,-52.3255814,-16.53116531,-14.41241685,100,pirimiphosmethyl,1.5,0,1,86,36,32,55,41,41,11,30,,,,,,,
12,Tchicaya2014,Anophelesgambiae,pirimiphos-methylAA30%CS,1,WestAfrica,CoteDIvoire,cement,-34.50292398,25.27636054,0.821880154,94.61134454,pirimiphosmethyl,1.5,0,0.955357143,513,88,135,340,336,321,151,211,,,,,,,
13,Tchicaya2014,Anophelesgambiae,pirimiphos-methylAA30%CS,1,WestAfrica,CoteDIvoire,cement,-60.49562682,2.80875043,6.13136136,89.3562336,pirimiphosmethyl,1.5,0,0.915129151,686,139,225,554,271,248,94,188,,,,,,,
14,Tchicaya2014,Anophelesgambiae,pirimiphos-methylAA30%CS,1,WestAfrica,CoteDIvoire,cement,-62.88659794,2.541371158,-17.78429634,86.71512853,pirimiphosmethyl,1.5,0,0.891666667,970,179,359,685,360,321,139,267,,,,,,,
15,Tchicaya2014,Anophelesgambiae,pirimiphos-methylAA30%CS,1,WestAfrica,CoteDIvoire,cement,9.312638581,11.57882597,-15.33346972,72.60604507,pirimiphosmethyl,1.5,0,0.778904665,902,174,304,611,986,768,408,600,,,,,,,
16,Tchicaya2014,Anophelesgambiae,pirimiphos-methylB30%CS,1,WestAfrica,CoteDIvoire,cement,-46.19883041,14.93271222,10.84224599,94.75191816,pirimiphosmethyl,1.5,0,0.956521739,513,88,135,340,276,264,103,156,,,,,,,
17,Tchicaya2014,Anophelesgambiae,pirimiphos-methylB30%CS,1,WestAfrica,CoteDIvoire,cement,-46.06413994,6.29184499,17.21890932,96.27155492,pirimiphosmethyl,1.5,0,0.97027027,686,139,225,554,370,359,137,240,,,,,,,
18,Tchicaya2014,Anophelesgambiae,pirimiphos-methylB30%CS,1,WestAfrica,CoteDIvoire,cement,-7.216494845,6.863066012,-7.72884434,91.27967411,pirimiphosmethyl,1.5,0,0.928888889,970,179,359,685,900,836,372,636,,,,,,,
19,Tchicaya2014,Anophelesgambiae,pirimiphos-methylB30%CS,1,WestAfrica,CoteDIvoire,cement,-54.32372506,1.151086145,-31.12474721,75.64080337,pirimiphosmethyl,1.5,0,0.803398058,902,174,304,611,412,331,142,294,,,,,,,
