,Study,Mosquito,Insecticide,concn,Hut,location,wall_type,Deterrency,Induced_Exophily,Bloodfeeding_inhibition,Insecticide_induced_mortality,insecticide,Months_since_IRS,Ntotalfemalemosq_C,Ntotaldied_C,Nexittraps_C,Nbloodfed_C,Ntotalfemalemosq_IRS,Ntotaldied_IRS,Nexittraps_IRS,Nbloodfed_IRS,P_fed_and_alive,P_fed_and_dead,P_unfed_and_dead,P_unfed_and_alive,P_killed,P_bloodfed,P_other
1,Agossa2014,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,cement,49.34210526,10.69882498,0.618002687,97.4025974,bendiocarb,1,152,0,26,145,77,75,20,73,,,,,,,
2,Agossa2014,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,cement,-20.54794521,-6.856702619,10.03521127,7.954545455,bendiocarb,2,73,0,14,71,88,7,12,77,,,,,,,
3,Agossa2014,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,cement,50,5,-4.918032787,4.347826087,bendiocarb,6,138,0,18,122,69,3,12,64,,,,,,,
4,Akogbeto2010,Anophelesgambiae,bendiocarb,0.2,WestAfrica,Benin,cement,3.225806452,10.57692308,1.833333333,81.05555556,bendiocarb,1,62,2,10,20,60,49,15,19,,,,,,,
5,Akogbeto2010,Anophelesgambiae,bendiocarb,0.2,WestAfrica,Benin,cement,34.24657534,8.176100629,-6.458333333,80.72183099,bendiocarb,2,73,2,20,10,48,39,16,7,,,,,,,
6,Akogbeto2010,Anophelesgambiae,bendiocarb,0.2,WestAfrica,Benin,cement,1.369863014,47.81454248,-1.388888889,76.82539683,bendiocarb,3,73,3,5,8,72,56,37,8,,,,,,,
7,Akogbeto2010,Anophelesgambiae,bendiocarb,0.2,WestAfrica,Benin,cement,6.12244898,35.32608696,-6.52173913,44.42344045,bendiocarb,4,49,3,21,5,46,22,29,5,,,,,,,
8,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,90.90909091,45,-29.41176471,100,bendiocarb,0.25,22,2,2,17,2,2,1,2,,,,,,,
9,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,53.57142857,3.076923077,0.591715976,76.92307692,bendiocarb,0.75,28,0,8,26,13,10,4,12,,,,,,,
10,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,87.17948718,46.20689655,-5.405405405,20,bendiocarb,1,39,0,10,37,5,1,3,5,,,,,,,
11,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,69.81132075,-10.41666667,-17.77777778,25,bendiocarb,1.25,53,0,20,45,16,4,5,16,,,,,,,
12,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,50,36.36363636,15.38461538,32.14285714,bendiocarb,1.5,56,0,12,52,28,9,14,22,,,,,,,
13,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,61.36363636,26.05042017,19.88795518,27.77017784,bendiocarb,1.75,44,1,16,42,17,5,9,13,,,,,,,
14,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,73.80952381,47.3354232,17.44471744,27.27272727,bendiocarb,2,42,0,13,37,11,3,7,8,,,,,,,
15,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,57.2815534,7.682458387,1.832844575,27.27272727,bendiocarb,2.25,103,0,32,93,44,12,16,39,,,,,,,
16,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,48.21428571,59.77011494,10.34482759,13.79310345,bendiocarb,2.5,56,0,8,56,29,4,19,26,,,,,,,
17,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,42.30769231,17.66666667,-15.55555556,6.666666667,bendiocarb,2.75,52,0,12,45,30,2,11,30,,,,,,,
18,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,72.99270073,-8.371786421,-8.463008463,18.91891892,bendiocarb,3,137,0,55,99,37,7,13,29,,,,,,,
19,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,80.70175439,58.54545455,17.09090909,36.36363636,bendiocarb,3.25,57,0,7,50,11,4,7,8,,,,,,,
20,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,64.95726496,22.172949,1.419068736,6.518082422,bendiocarb,3.5,117,1,18,110,41,3,14,38,,,,,,,
21,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,55,28.10457516,3.133903134,11.11111111,bendiocarb,3.75,40,0,6,39,18,2,7,17,,,,,,,
22,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,77.27272727,30.52631579,0,0,bendiocarb,4,22,0,3,22,5,0,2,5,,,,,,,
23,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,51.85185185,1.098901099,7.692307692,7.692307692,bendiocarb,4.25,27,0,6,27,13,1,3,12,,,,,,,
24,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,61.29032258,32.60869565,0,0,bendiocarb,4.5,31,0,8,31,12,0,6,12,,,,,,,
25,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,60.86956522,-33.33333333,0,5.555555556,bendiocarb,4.75,46,0,23,46,18,1,6,18,,,,,,,
26,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,67.34693878,-2.083333333,0,4.296875,bendiocarb,5,49,1,19,49,16,1,6,16,,,,,,,
27,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,75,12.5,0,5.882352941,bendiocarb,5.25,52,1,20,52,13,1,6,13,,,,,,,
28,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,70.90909091,-10.49107143,0,4.513888889,bendiocarb,5.5,55,1,27,55,16,1,7,16,,,,,,,
29,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,61.81818182,21.42857143,0,2.998236332,bendiocarb,5.75,55,1,25,55,21,1,12,21,,,,,,,
30,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,53.57142857,18.30238727,-1.818181818,2.097902098,bendiocarb,6,56,1,27,55,26,1,15,26,,,,,,,
31,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,62.71186441,40.4040404,-1.724137931,-1.724137931,bendiocarb,6.25,59,1,23,58,22,0,14,22,,,,,,,
32,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,59.25925926,40.49586777,-1.886792453,-1.886792453,bendiocarb,6.5,54,1,21,53,22,0,14,22,,,,,,,
33,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,50,3.703703704,-2.040816327,0,bendiocarb,6.75,50,0,23,49,25,0,12,25,,,,,,,
34,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,64.78873239,19.73913043,-1.428571429,0,bendiocarb,7,71,0,25,70,25,0,12,25,,,,,,,
35,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,66.66666667,32.65306122,2.816901408,0,bendiocarb,7.25,72,0,23,71,24,0,13,23,,,,,,,
36,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,72.72727273,-6.666666667,3.0651341,0,bendiocarb,7.5,88,0,33,87,24,0,8,23,,,,,,,
37,UNPUBLISHED_Data_Corbel,Anophelesgambiae,bendiocarb,0.4,WestAfrica,Benin,concrete,77.31958763,-4.978354978,4.545454545,0,bendiocarb,7.75,97,0,34,97,22,0,7,21,,,,,,,
