,Study,Mosquito,Insecticide,concn,Hut,location,wall_type,Deterrency,Induced_Exophily,Bloodfeeding_inhibition,Insecticide_induced_mortality,insecticide,Months_since_IRS,lp0,time,Ntotalfemalemosq_C,Ntotaldied_C,Nexittraps_C,Nbloodfed_C,Ntotalfemalemosq_IRS,Ntotaldied_IRS,Nexittraps_IRS,Nbloodfed_IRS,P_fed_and_alive,P_fed_and_dead,P_unfed_and_dead,P_unfed_and_alive,P_killed,P_bloodfed,P_other,GROUP
1,Agossa2014,Anophelesgambiae,lambdacyalothrin,0.03,WestAfrica,Benin,cement,-15.78947368,39.68253968,11.84952978,92.04545455,lambdacyalothrin,1,0.920454545,0,152,0,26,145,176,162,88,148,,,,,,,,1
2,Agossa2014,Anophelesgambiae,lambdacyalothrin,0.03,WestAfrica,Benin,cement,-61.64383562,14.01896007,4.153735975,9.322033898,lambdacyalothrin,2,0.920454545,2,73,0,14,71,118,11,36,110,,,,,,,,1
3,Agossa2014,Anophelesgambiae,lambdacyalothrin,0.03,WestAfrica,Benin,cement,38.4057971,8,-3.799421408,3.529411765,lambdacyalothrin,6,0.920454545,6,138,0,18,122,85,3,17,78,,,,,,,,1
4,UNPUBLISHED_Data_Corbel,Anophelesgambiae,deltamethrin,0.025,WestAfrica,Benin,concrete,27.27272727,38.125,2.941176471,79.375,deltamethrin,0.25,0.8125,0,22,2,2,17,16,13,7,12,,,,,,,,2
5,UNPUBLISHED_Data_Corbel,Anophelesgambiae,deltamethrin,0.025,WestAfrica,Benin,concrete,62.5,38.46153846,0,50,deltamethrin,0.5,0.8125,0.5,16,0,3,16,6,3,3,6,,,,,,,,2
6,UNPUBLISHED_Data_Corbel,Anophelesgambiae,deltamethrin,0.025,WestAfrica,Benin,concrete,35.71428571,22.22222222,10.25641026,66.66666667,deltamethrin,0.75,0.8125,0.75,28,0,8,26,18,12,8,15,,,,,,,,2
7,UNPUBLISHED_Data_Corbel,Anophelesgambiae,deltamethrin,0.025,WestAfrica,Benin,concrete,33.33333333,22.4137931,-1.351351351,34.61538462,deltamethrin,1,0.8125,1,39,0,10,37,26,9,11,25,,,,,,,,2
8,UNPUBLISHED_Data_Corbel,Anophelesgambiae,deltamethrin,0.025,WestAfrica,Benin,concrete,11.32075472,21.40554481,4.775413712,25.53191489,deltamethrin,1.25,0.8125,1.25,53,0,20,45,47,12,24,38,,,,,,,,2
9,UNPUBLISHED_Data_Corbel,Anophelesgambiae,deltamethrin,0.025,WestAfrica,Benin,concrete,-1.785714286,44.17862839,14.97975709,36.84210526,deltamethrin,1.5,0.8125,1.5,56,0,12,52,57,21,32,45,,,,,,,,2
10,UNPUBLISHED_Data_Corbel,Anophelesgambiae,deltamethrin,0.025,WestAfrica,Benin,concrete,27.27272727,26.33928571,11.60714286,13.6627907,deltamethrin,1.75,0.8125,1.75,44,1,16,42,32,5,17,27,,,,,,,,2
