,Study,Mosquito,Insecticide,concn,Hut,location,wall_type,Deterrency,Induced_Exophily,Bloodfeeding_inhibition,Insecticide_induced_mortality,insecticide,Months_since_IRS,time,Ntotalfemalemosq_C,Ntotaldied_C,Nexittraps_C,Nbloodfed_C,Ntotalfemalemosq_IRS,Ntotaldied_IRS,Nexittraps_IRS,Nbloodfed_IRS
1,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-9.090909091,17.5,-94.11764706,56,sumishield,0.25,0,22,2,2,17,20,12,5,18
2,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,59.09090909,27.71428571,-24.23529412,68.57142857,sumishield,0.25,0,22,2,2,17,35,25,12,24
3,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,9.090909091,49.58333333,-23.52941176,90.83333333,sumishield,0.25,0,22,2,2,17,24,22,13,21
4,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-40.90909091,6.923076923,20.36199095,100,sumishield,0.25,0,22,2,2,17,13,13,2,8
5,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-9.090909091,34,-104.9019608,56,sumishield,0.25,0,22,2,2,17,20,12,8,19
6,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-12.5,-14.28571429,-55.55555556,64.28571429,sumishield,0.5,0.5,16,0,3,16,14,9,1,14
7,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,6.25,-1.357466063,-36.36363636,64.70588235,sumishield,0.5,0.5,16,0,3,16,17,11,3,15
8,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-68.75,-23.07692308,0,100,sumishield,0.5,0.5,16,0,3,16,5,5,0,5
9,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,-25,-12.82051282,50,100,sumishield,0.5,0.5,16,0,3,16,12,12,1,6
10,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-68.75,1.538461538,-150,40,sumishield,0.5,0.5,16,0,3,16,5,2,1,5
11,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-57.14285714,18.33333333,-43.58974359,75,sumishield,0.75,0.75,28,0,8,26,12,9,5,12
12,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-25,-26.66666667,-27.88461538,76.19047619,sumishield,0.75,0.75,28,0,8,26,21,16,2,19
13,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_300,0.3,WestAfrica,Benin,concrete,-21.42857143,4.545454545,-13.07692308,90.90909091,sumishield,0.75,0.75,28,0,8,26,22,20,7,21
14,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_450,0.45,WestAfrica,Benin,concrete,39.28571429,-11.28205128,-1.165501166,84.61538462,sumishield,0.75,0.75,28,0,8,26,39,33,8,31
15,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_50,0.05,WestAfrica,Benin,concrete,-78.57142857,53.33333333,-61.53846154,66.66666667,sumishield,0.75,0.75,28,0,8,26,6,4,4,6
16,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_100,0.1,WestAfrica,Benin,concrete,-53.84615385,-12.06896552,-258.3783784,27.77777778,sumishield,1,1,39,0,10,37,18,5,3,17
17,UNPUBLISHED_Data_Corbel,Anophelesgambiae,S1642_200,0.2,WestAfrica,Benin,concrete,-35.8974359,19.31034483,-192.7927928,36,sumishield,1,1,39,0,10,37,25,9,10,25
